"TimeInt";"TimeStr";"Intensidad_Bomba_Hidráulica";"Intensidad_Soplante_Inferior1";"Intensidad_Soplante_Inferior2";"Intensidad_Soplante_Superior";"Presión_Bomba_Hidráulica";"Presión_Soplante_Inferior1";"Presión_Soplante_Inferior2";"Presión_Soplante_Superior";"Temperatura_Inferior";"Temperatura_Intermedia";"Temperatura_Superior"
1550237335;"15/02/2019 13:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550239135;"15/02/2019 13:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550240935;"15/02/2019 14:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550242736;"15/02/2019 14:58:56";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550244535;"15/02/2019 15:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550246335;"15/02/2019 15:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550248135;"15/02/2019 16:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550249935;"15/02/2019 16:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550251735;"15/02/2019 17:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550253535;"15/02/2019 17:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550255335;"15/02/2019 18:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550257135;"15/02/2019 18:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550258935;"15/02/2019 19:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550260735;"15/02/2019 19:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550262535;"15/02/2019 20:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550264335;"15/02/2019 20:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550266135;"15/02/2019 21:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550267935;"15/02/2019 21:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550269735;"15/02/2019 22:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550271535;"15/02/2019 22:58:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
1550273335;"15/02/2019 23:28:55";14.35;11.32;2.32;21.32;4.355;1.257;3.211;3.212;45.66;3.21;3.24
